tempo rho11 rho22 rho33 soma
fs
144 0.233529 0.233529 0.532942 1
145 0.231498 0.231498 0.537005 1
146 0.229491 0.22949 0.541019 1
147 0.227508 0.227508 0.544984 1
148 0.225551 0.225551 0.548898 1
149 0.223619 0.223619 0.552761 1
150 0.221714 0.221714 0.556573 1
151 0.219835 0.219834 0.560331 1
152 0.217983 0.217982 0.564035 1
153 0.216158 0.216158 0.567685 1
154 0.214361 0.214361 0.571278 1
155 0.212592 0.212592 0.574816 1
156 0.210852 0.210852 0.578296 1
157 0.209141 0.209141 0.581717 1
158 0.20746 0.20746 0.58508 1
159 0.205809 0.205808 0.588383 1
160 0.204187 0.204187 0.591626 1
161 0.202597 0.202596 0.594807 1
162 0.201037 0.201037 0.597926 1
163 0.199509 0.199509 0.600983 1
164 0.198013 0.198012 0.603975 1
165 0.196548 0.196548 0.606904 1
166 0.195116 0.195116 0.609768 1
167 0.193717 0.193717 0.612566 1
168 0.192351 0.192351 0.615298 1
169 0.191019 0.191018 0.617963 1
170 0.18972 0.18972 0.62056 1
171 0.188456 0.188455 0.623089 1
172 0.187225 0.187225 0.62555 1
173 0.18603 0.186029 0.627941 1
174 0.184869 0.184869 0.630263 1
175 0.183744 0.183743 0.632513 1
176 0.182654 0.182653 0.634693 1
177 0.181599 0.181599 0.636802 1
178 0.180581 0.18058 0.638839 1
179 0.179599 0.179598 0.640803 1
180 0.178653 0.178653 0.642694 1
181 0.177744 0.177744 0.644512 1
182 0.176872 0.176872 0.646256 1
183 0.176037 0.176037 0.647926 1
184 0.17524 0.175239 0.649521 1
185 0.17448 0.174479 0.651041 1
186 0.173757 0.173756 0.652486 1
187 0.173072 0.173072 0.653856 1
188 0.172426 0.172425 0.655149 1
189 0.171817 0.171816 0.656366 1
190 0.171247 0.171246 0.657507 1
191 0.170715 0.170714 0.658571 1
192 0.170222 0.170221 0.659557 1
193 0.169767 0.169766 0.660467 1
194 0.169351 0.16935 0.661299 1
195 0.168974 0.168973 0.662053 1
196 0.168636 0.168635 0.662729 1
197 0.168337 0.168336 0.663327 1
198 0.168077 0.168076 0.663847 1
199 0.167856 0.167855 0.664289 1
200 0.167674 0.167674 0.664652 1
201 0.167532 0.167531 0.664937 1
202 0.167429 0.167428 0.665143 1
203 0.167365 0.167364 0.665271 1
204 0.167341 0.16734 0.66532 1
205 0.167355 0.167355 0.66529 1
206 0.16741 0.167409 0.665182 1
207 0.167503 0.167502 0.664995 1
208 0.167636 0.167635 0.664729 1
209 0.167808 0.167807 0.664386 1
210 0.168019 0.168018 0.663963 1
211 0.168269 0.168268 0.663463 1
212 0.168558 0.168558 0.662884 1
213 0.168887 0.168886 0.662227 1
214 0.169254 0.169253 0.661492 1
215 0.16966 0.16966 0.66068 1
216 0.170105 0.170104 0.65979 1
217 0.170589 0.170588 0.658823 1
218 0.171111 0.17111 0.657779 1
219 0.171672 0.171671 0.656658 1
220 0.17227 0.172269 0.65546 1
221 0.172907 0.172906 0.654186 1
222 0.173582 0.173581 0.652836 1
223 0.174295 0.174294 0.651411 1
224 0.175045 0.175044 0.64991 1
225 0.175833 0.175832 0.648335 1
226 0.176658 0.176657 0.646685 1
227 0.17752 0.177519 0.64496 1
228 0.178419 0.178418 0.643162 1
229 0.179355 0.179354 0.641291 1
230 0.180327 0.180326 0.639346 1
231 0.181336 0.181335 0.63733 1
232 0.18238 0.182379 0.635241 1
233 0.18346 0.183459 0.633081 1
234 0.184575 0.184574 0.63085 1
235 0.185726 0.185725 0.628549 1
236 0.186912 0.186911 0.626178 1
237 0.188132 0.188131 0.623737 1
238 0.189386 0.189385 0.621228 1
239 0.190675 0.190674 0.618651 1
240 0.191997 0.191996 0.616006 1
241 0.193353 0.193352 0.613295 1
242 0.194742 0.194741 0.610517 1
243 0.196164 0.196162 0.607674 1
244 0.197618 0.197617 0.604766 1
245 0.199104 0.199103 0.601793 1
246 0.200622 0.200621 0.598758 1
247 0.202171 0.20217 0.595659 1
248 0.203751 0.20375 0.592498 1
249 0.205362 0.205361 0.589277 1
250 0.207004 0.207002 0.585994 1
251 0.208675 0.208673 0.582652 1
252 0.210375 0.210374 0.579251 1
253 0.212105 0.212103 0.575792 1
254 0.213863 0.213861 0.572276 1
255 0.215649 0.215648 0.568703 1
256 0.217463 0.217462 0.565075 1
257 0.219305 0.219304 0.561391 1
258 0.221173 0.221172 0.557654 1
259 0.223069 0.223067 0.553864 1
260 0.22499 0.224988 0.550022 1
261 0.226936 0.226935 0.546129 1
262 0.228908 0.228907 0.542185 1
263 0.230904 0.230903 0.538193 1
264 0.232925 0.232924 0.534151 1
265 0.234969 0.234968 0.530063 1
266 0.237037 0.237035 0.525928 1
267 0.239127 0.239126 0.521747 1
268 0.24124 0.241238 0.517522 1
269 0.243374 0.243372 0.513254 1
270 0.245529 0.245528 0.508943 1
271 0.247705 0.247704 0.504591 1
272 0.249902 0.2499 0.500198 1
273 0.252118 0.252116 0.495766 1
274 0.254353 0.254351 0.491296 1
275 0.256607 0.256605 0.486788 1
276 0.258879 0.258877 0.482244 1
277 0.261168 0.261167 0.477665 1
278 0.263475 0.263473 0.473053 1
279 0.265797 0.265796 0.468407 1
280 0.268136 0.268135 0.463729 1
281 0.27049 0.270489 0.459021 1
282 0.272859 0.272858 0.454283 1
283 0.275242 0.275241 0.449517 1
284 0.277639 0.277638 0.444723 1
285 0.280049 0.280048 0.439903 1
286 0.282472 0.28247 0.435058 1
287 0.284906 0.284904 0.43019 1
288 0.287352 0.28735 0.425298 1
289 0.289808 0.289807 0.420385 1
290 0.292275 0.292273 0.415451 1
291 0.294752 0.29475 0.410499 1
292 0.297237 0.297235 0.405528 1
293 0.299731 0.299729 0.40054 1
294 0.302233 0.302231 0.395536 1
295 0.304742 0.30474 0.390518 1
296 0.307257 0.307256 0.385487 1
297 0.309779 0.309777 0.380443 1
298 0.312306 0.312305 0.375389 1
299 0.314839 0.314837 0.370325 1
300 0.317375 0.317373 0.365252 1
301 0.319915 0.319913 0.360172 1
302 0.322458 0.322456 0.355085 1
303 0.325004 0.325002 0.349994 1
304 0.327551 0.32755 0.344899 1
305 0.3301 0.330098 0.339801 1
306 0.33265 0.332648 0.334703 1
307 0.335199 0.335197 0.329604 1
308 0.337748 0.337746 0.324506 1
309 0.340296 0.340294 0.31941 1
310 0.342842 0.34284 0.314318 1
311 0.345386 0.345384 0.30923 1
312 0.347926 0.347925 0.304149 1
313 0.350464 0.350462 0.299075 1
314 0.352997 0.352995 0.294008 1
315 0.355525 0.355523 0.288952 1
316 0.358048 0.358046 0.283906 1
317 0.360565 0.360563 0.278872 1
318 0.363075 0.363073 0.273851 1
319 0.365579 0.365577 0.268845 1
320 0.368074 0.368072 0.263854 1
321 0.370561 0.370559 0.258879 1
322 0.37304 0.373038 0.253923 1
323 0.375508 0.375507 0.248985 1
324 0.377967 0.377965 0.244068 1
325 0.380415 0.380413 0.239171 1
326 0.382852 0.38285 0.234298 1
327 0.385277 0.385275 0.229448 1
328 0.38769 0.387688 0.224623 1
329 0.390089 0.390087 0.219824 1
330 0.392475 0.392473 0.215052 1
331 0.394847 0.394845 0.210308 1
332 0.397204 0.397203 0.205593 1
333 0.399546 0.399545 0.200909 1
334 0.401873 0.401871 0.196256 1
335 0.404183 0.404181 0.191636 1
336 0.406476 0.406474 0.18705 1
337 0.408751 0.40875 0.182499 1
338 0.411009 0.411007 0.177983 1
339 0.413248 0.413247 0.173505 1
340 0.415469 0.415467 0.169065 1
341 0.417669 0.417667 0.164663 1
342 0.41985 0.419848 0.160302 1
343 0.42201 0.422008 0.155982 1
344 0.424149 0.424147 0.151704 1
345 0.426266 0.426264 0.147469 1
346 0.428361 0.42836 0.143279 1
347 0.430434 0.430432 0.139134 1
348 0.432484 0.432482 0.135035 1
349 0.43451 0.434508 0.130983 1
350 0.436512 0.43651 0.126979 1
351 0.438489 0.438487 0.123024 1
352 0.440442 0.44044 0.119119 1
353 0.442369 0.442367 0.115265 1
354 0.44427 0.444268 0.111463 1
355 0.446144 0.446143 0.107713 1
356 0.447992 0.44799 0.104017 1
357 0.449813 0.449811 0.100376 1
358 0.451606 0.451604 0.0967896 1
359 0.453371 0.453369 0.0932597 1
360 0.455108 0.455106 0.0897868 1
361 0.456815 0.456813 0.0863716 1
362 0.458493 0.458492 0.0830151 1
363 0.460142 0.46014 0.0797181 1
364 0.46176 0.461758 0.0764812 1
365 0.463348 0.463346 0.0733053 1
366 0.464905 0.464904 0.0701912 1
367 0.466431 0.466429 0.0671395 1
368 0.467925 0.467924 0.0641509 1
369 0.469388 0.469386 0.0612262 1
370 0.470818 0.470816 0.0583661 1
371 0.472215 0.472213 0.0555713 1
372 0.47358 0.473578 0.0528423 1
373 0.474911 0.474909 0.0501799 1
374 0.476209 0.476207 0.0475847 1
375 0.477472 0.477471 0.0450573 1
376 0.478702 0.4787 0.0425982 1
377 0.479897 0.479895 0.0402081 1
378 0.481057 0.481055 0.0378875 1
379 0.482182 0.482181 0.035637 1
380 0.483272 0.483271 0.0334571 1
381 0.484327 0.484325 0.0313484 1
382 0.485345 0.485344 0.0293112 1
383 0.486328 0.486326 0.0273461 1
384 0.487274 0.487272 0.0254536 1
385 0.488184 0.488182 0.0236341 1
386 0.489057 0.489055 0.021888 1
387 0.489893 0.489891 0.0202158 1
388 0.490692 0.49069 0.0186178 1
389 0.491454 0.491452 0.0170944 1
390 0.492178 0.492176 0.0156459 1
391 0.492864 0.492863 0.0142728 1
392 0.493513 0.493512 0.0129753 1
393 0.494124 0.494122 0.0117537 1
394 0.494697 0.494695 0.0106084 1
395 0.495231 0.49523 0.00953953 1
396 0.495727 0.495726 0.00854741 1
397 0.496185 0.496183 0.00763226 1
398 0.496604 0.496602 0.00679429 1
399 0.496984 0.496982 0.00603371 1
400 0.497325 0.497324 0.00535067 1
401 0.497628 0.497627 0.00474536 1
402 0.497892 0.49789 0.00421789 1
403 0.498116 0.498115 0.00376841 1
404 0.498302 0.498301 0.003397 1
405 0.498449 0.498447 0.00310376 1
406 0.498556 0.498555 0.00288875 1
407 0.498625 0.498623 0.00275202 1
408 0.498654 0.498653 0.0026936 1
409 0.498644 0.498643 0.0027135 1
410 0.498595 0.498594 0.00281171 1
411 0.498506 0.498505 0.00298821 1
412 0.498379 0.498378 0.00324295 1
413 0.498213 0.498212 0.00357586 1
414 0.498007 0.498006 0.00398687 1
415 0.497763 0.497762 0.00447587 1
416 0.497479 0.497478 0.00504275 1
417 0.497157 0.497156 0.00568736 1
418 0.496796 0.496795 0.00640956 1
419 0.496396 0.496395 0.00720917 1
420 0.495957 0.495957 0.00808599 1
421 0.495481 0.49548 0.00903982 1
422 0.494965 0.494964 0.0100704 1
423 0.494412 0.494411 0.0111776 1
424 0.49382 0.493819 0.0123609 1
425 0.49319 0.493189 0.0136203 1
426 0.492523 0.492522 0.0149554 1
427 0.491817 0.491817 0.0163658 1
428 0.491075 0.491074 0.0178512 1
429 0.490295 0.490294 0.0194113 1
430 0.489477 0.489477 0.0210457 1
431 0.488623 0.488623 0.022754 1
432 0.487732 0.487732 0.0245358 1
433 0.486805 0.486804 0.0263907 1
434 0.485841 0.485841 0.0283182 1
435 0.484841 0.484841 0.0303179 1
436 0.483806 0.483805 0.0323893 1
437 0.482734 0.482734 0.0345319 1
